id,storename,codshopify,departamento,provincia,distrito,ubigeo,rango1_min,rango1_max,rango1_costo,rango1_costo2,rango1_costo3,rango2_min,rango2_max,rango2_costo,rango2_costo2,rango2_costo3,rango3_min,rango3_max,rango3_costo,rango3_costo2,rango3_costo3,rango4_min,rango4_max,rango4_costo,rango4_costo2,rango4_costo3,texto,texto_description,texto2,texto2_description,texto3,texto3_description,texto_collect,texto_collect_description
1,mi-tienda,MITI-010101,Amazonas,Chachapoyas,Chachapoyas,010101,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
2,mi-tienda,MITI-010102,Amazonas,Chachapoyas,Asunción,010102,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
3,mi-tienda,MITI-010103,Amazonas,Chachapoyas,Balsas,010103,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
4,mi-tienda,MITI-010104,Amazonas,Chachapoyas,Cheto,010104,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
5,mi-tienda,MITI-010105,Amazonas,Chachapoyas,Chiliquin,010105,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
6,mi-tienda,MITI-010106,Amazonas,Chachapoyas,Chuquibamba,010106,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
7,mi-tienda,MITI-010107,Amazonas,Chachapoyas,Granada,010107,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
8,mi-tienda,MITI-010108,Amazonas,Chachapoyas,Huancas,010108,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
9,mi-tienda,MITI-010109,Amazonas,Chachapoyas,La Jalca,010109,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
10,mi-tienda,MITI-010110,Amazonas,Chachapoyas,Leimebamba,010110,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
